oracion_español,oracion_transformada_lse
Trabajo y sonrío.,YO TRABAJAR Y SONREÍR
Cocino y limpio.,YO COCINAR Y LIMPIAR
Leo y aprendo.,YO LEER Y APRENDER
Estudio y enseño.,YO ESTUDIAR Y ENSEÑAR
Organizo y escribo.,YO ORGANIZAR Y ESCRIBIR
Aprendo y enseño.,YO APRENDER Y ENSEÑAR
Cocino y sirvo.,YO COCINAR Y SERVIR
Leo y descanso.,YO LEER Y DESCANSAR
Canto y río.,YO CANTAR Y REÍR
Trabajo y escucho.,YO TRABAJAR Y ESCUCHAR
Pinto y coloreo.,YO PINTAR Y COLOREAR
Cocino y decoro.,YO COCINAR Y DECORAR
Escribo y leo.,YO ESCRIBIR Y LEER
Leo y enseño.,YO LEER Y ENSEÑAR
Trabajo y estudio.,YO TRABAJAR Y ESTUDIAR
Cocino y hablo.,YO COCINAR Y HABLAR
Escribo y planeo.,YO ESCRIBIR Y PLANEAR
Aprendo y comparto.,YO APRENDER Y COMPARTIR
María cocinó arroz.,PASADO MARÍA ARROZ COCINAR
Luis estudió biología.,PASADO LUIS BIOLOGÍA ESTUDIAR
Ana preparó café.,PASADO ANA CAFÉ PREPARAR
Javier escribió un correo.,PASADO JAVIER CORREO ESCRIBIR
Lucía cantó una canción.,PASADO LUCÍA CANCIÓN CANTAR
Carlos observó el cielo.,PASADO CARLOS CIELO OBSERVAR
El profesor enseñó historia.,PASADO PROFESOR HISTORIA ENSEÑAR
Mi hermana limpió la casa.,PASADO CASA MI HERMANA LIMPIAR
El equipo entrenó fuerte.,PASADO EQUIPO FUERTE ENTRENAR
La empresa fabricó muebles.,PASADO EMPRESA MUEBLES FABRICAR
El médico atendió pacientes.,PASADO MÉDICO PACIENTES ATENDER
La vecina cocinó lentejas.,PASADO VECINA LENTEJAS COCINAR
El alumno estudió inglés.,PASADO ALUMNO INGLÉS ESTUDIAR
Mi padre arregló el coche.,PASADO PADRE MÍO COCHE ARREGLAR
La directora revisó informes.,PASADO DIRECTORA INFORMES REVISAR
El escritor redactó un cuento.,PASADO ESCRITOR CUENTO REDACTAR
El chef midió ingredientes.,PASADO CHEF INGREDIENTES MEDIR
La doctora examinó niños.,PASADO DOCTORA NIÑOS EXAMINAR
Mi amigo guardó documentos.,PASADO AMIGO MÍO DOCUMENTOS GUARDAR
El grupo cantó en el teatro.,PASADO TEATRO GRUPO CANTAR
Trabajé mucho ayer.,AYER YO MUCHO TRABAJAR
Cociné pasta.,PASADO YO PASTA COCINAR
Leí un libro.,PASADO YO LIBRO LEER
Estudié ciencias.,PASADO YO CIENCIAS ESTUDIAR
Preparé té.,PASADO YO TÉ PREPARAR
Escribí correos.,PASADO YO CORREOS ESCRIBIR
Observé estrellas.,PASADO YO ESTRELLAS OBSERVAR
Organicé tareas.,PASADO YO TAREAS ORGANIZAR
Visité a mis amigos.,PASADO YO AMIGOS MÍOS VISITAR
Limpié la cocina.,PASADO YO COCINA LIMPIAR
Aprendí historia.,PASADO YO HISTORIA APRENDER
Pinté un cuadro.,PASADO YO CUADRO PINTAR
Grabé vídeos.,PASADO YO VÍDEOS GRABAR
Toqué guitarra.,PASADO YO GUITARRA TOCAR
Investigué ciencia.,PASADO YO CIENCIA INVESTIGAR
Medí azúcar.,PASADO YO AZÚCAR MEDIR
Gestioné tareas.,PASADO YO TAREAS GESTIONAR
Planeé vacaciones.,PASADO YO VACACIONES PLANEAR
Dormí temprano.,PASADO YO TEMPRANO DORMIR
Descansé en casa.,PASADO YO CASA DESCANSAR
María cocinó y sirvió.,PASADO MARÍA COCINAR SERVIR
Luis estudió y aprobó.,PASADO LUIS ESTUDIAR APROBAR
Ana preparó y limpió.,PASADO ANA PREPARAR LIMPIAR
Lucía cantó y bailó.,PASADO LUCÍA CANTAR BAILAR
Carlos observó y anotó.,PASADO CARLOS OBSERVAR ANOTAR
El profesor enseñó y corrigió.,PASADO PROFESOR ENSEÑAR CORREGIR
Mi hermana limpió y cocinó.,PASADO HERMANA MÍA LIMPIAR COCINAR
El grupo cantó y celebró.,PASADO GRUPO CANTAR CELEBRAR
El chef cocinó y decoró.,PASADO CHEF COCINAR DECORAR
La doctora examinó y aconsejó.,PASADO DOCTORA EXAMINAR ACONSEJAR
María cocinará arroz.,FUTURO MARÍA ARROZ COCINAR
Luis estudiará inglés.,FUTURO LUIS INGLÉS ESTUDIAR
Ana preparará café.,FUTURO ANA CAFÉ PREPARAR
Javier escribirá una carta.,FUTURO JAVIER CARTA ESCRIBIR
Lucía cantará una canción.,FUTURO LUCÍA CANCIÓN CANTAR
Carlos observará estrellas.,FUTURO CARLOS ESTRELLAS OBSERVAR
El profesor enseñará historia.,FUTURO PROFESOR HISTORIA ENSEÑAR
Mi hermana limpiará la casa.,FUTURO CASA MI HERMANA LIMPIAR
El equipo entrenará mañana.,MAÑANA EQUIPO ENTRENAR
La empresa producirá muebles.,FUTURO EMPRESA MUEBLES PRODUCIR
El médico atenderá pacientes.,FUTURO MÉDICO PACIENTES ATENDER
La vecina cocinará lentejas.,FUTURO VECINA LENTEJAS COCINAR
El alumno estudiará idiomas.,FUTURO ALUMNO IDIOMAS ESTUDIAR
Mi padre arreglará el coche.,FUTURO COCHE MI PADRE ARREGLAR
La directora organizará informes.,FUTURO DIRECTORA INFORMES ORGANIZAR
El escritor redactará un libro.,FUTURO ESCRITOR LIBRO REDACTAR
El chef medirá ingredientes.,FUTURO CHEF INGREDIENTES MEDIR
La doctora examinará pacientes.,FUTURO DOCTORA PACIENTES EXAMINAR
Mi amigo guardará fotos.,FUTURO FOTOS MI AMIGO GUARDAR
El grupo cantará en Madrid.,FUTURO MADRID GRUPO CANTAR
Trabajaré mañana.,MAÑANA YO TRABAJAR
Cocinaré arroz.,FUTURO YO ARROZ COCINAR
Leeré un libro.,FUTURO YO LIBRO LEER
Estudiaré biología.,FUTURO YO BIOLOGÍA ESTUDIAR
Prepararé té.,FUTURO YO TÉ PREPARAR
Escribiré correos.,FUTURO YO CORREOS ESCRIBIR
Observaré el cielo.,FUTURO YO CIELO OBSERVAR
Organizaré tareas.,FUTURO YO TAREAS ORGANIZAR
Visitaré amigos.,FUTURO YO AMIGOS VISITAR
Limpiaré la casa.,FUTURO YO CASA LIMPIAR
Aprenderé francés.,FUTURO YO FRANCÉS APRENDER
Pintaré un cuadro.,FUTURO YO CUADRO PINTAR
Grabaré vídeos.,FUTURO YO VÍDEOS GRABAR
Tocaré guitarra.,FUTURO YO GUITARRA TOCAR
Investigaré arte.,FUTURO YO ARTE INVESTIGAR
Mediré ingredientes.,FUTURO YO INGREDIENTES MEDIR
Gestionaré proyectos.,FUTURO YO PROYECTOS GESTIONAR
Planearé viajes.,FUTURO YO VIAJES PLANEAR
Dormiré bien.,FUTURO YO BIEN DORMIR
Descansaré después.,FUTURO YO DESPUÉS DESCANSAR
María cocinará y servirá.,FUTURO MARÍA COCINAR SERVIR
Luis estudiará y aprobará.,FUTURO LUIS ESTUDIAR APROBAR
Ana preparará y limpiará.,FUTURO ANA PREPARAR LIMPIAR
Lucía cantará y bailará.,FUTURO LUCÍA CANTAR BAILAR
Carlos observará y anotará.,FUTURO CARLOS OBSERVAR ANOTAR
El profesor enseñará y corregirá.,FUTURO PROFESOR ENSEÑAR CORREGIR
Mi hermana limpiará y cocinará.,FUTURO MI HERMANA LIMPIAR COCINAR
El grupo cantará y celebrará.,FUTURO GRUPO CANTAR CELEBRAR
El chef cocinará y decorará.,FUTURO CHEF COCINAR DECORAR
La doctora examinará y aconsejará.,FUTURO DOCTORA EXAMINAR ACONSEJAR
María cocina arroz todas las mañanas.,MAÑANA MARÍA ARROZ COCINAR
Luis estudia matemáticas cada martes.,MARTES LUIS MATEMÁTICAS ESTUDIAR
Ana prepara café cada tarde.,TARDE ANA CAFÉ PREPARAR
Javier escribe artículos por la noche.,NOCHE JAVIER ARTÍCULOS ESCRIBIR
Lucía canta canciones los viernes.,VIERNES LUCÍA CANCIONES CANTAR
Carlos observa estrellas todas las noches.,NOCHE CARLOS ESTRELLAS OBSERVAR
El profesor enseña historia los lunes.,LUNES PROFESOR HISTORIA ENSEÑAR
Mi hermana limpia la casa los domingos.,DOMINGOS MI HERMANA CASA LIMPIAR
El equipo entrena todos los días.,DÍAS EQUIPO ENTRENAR
La empresa fabrica muebles cada mes.,MES EMPRESA MUEBLES FABRICAR
El médico atiende pacientes los jueves.,JUEVES MÉDICO PACIENTES ATENDER
La vecina cocina lentejas los lunes.,LUNES VECINA LENTEJAS COCINAR
El alumno estudia inglés cada tarde.,TARDE ALUMNO INGLÉS ESTUDIAR
Mi padre repara la bicicleta los sábados.,SÁBADOS MI PADRE BICICLETA REPARAR
La directora revisa informes cada martes.,MARTES DIRECTORA INFORMES REVISAR
El escritor redacta cuentos por la noche.,NOCHE ESCRITOR CUENTOS REDACTAR
El chef prepara postres todos los sábados.,SÁBADOS CHEF POSTRES PREPARAR
La doctora examina a los niños cada jueves.,JUEVES DOCTORA NIÑOS EXAMINAR
Mi amigo organiza su escritorio los domingos.,DOMINGOS MI AMIGO ESCRITORIO ORGANIZAR
El grupo canta canciones nuevas los viernes.,VIERNES GRUPO CANCIONES NUEVAS CANTAR
Trabajo cada mañana con alegría.,MAÑANA ALEGRÍA YO TRABAJAR
Cocino arroz los sábados y domingos.,SÁBADOS DOMINGOS YO ARROZ COCINAR
Leo periódicos todos los días.,DÍAS YO PERIÓDICOS LEER
Estudio idiomas cada noche.,NOCHE YO IDIOMAS ESTUDIAR
Preparo desayuno todas las mañanas.,MAÑANA YO DESAYUNO PREPARAR
Escribo correos cada tarde.,TARDE YO CORREOS ESCRIBIR
Observo pájaros cada amanecer.,AMANECER YO PÁJAROS OBSERVAR
Organizo documentos todos los lunes.,LUNES YO DOCUMENTOS ORGANIZAR
Visito museos los domingos.,DOMINGOS YO MUSEOS VISITAR
Limpio el suelo cada día.,DÍA YO SUELO LIMPIAR
Reparo el ordenador cada mes.,MES YO ORDENADOR REPARAR
Cocino pasta todos los viernes.,VIERNES YO PASTA COCINAR
Aprendo historia cada semana.,SEMANA YO HISTORIA APRENDER
Enseño matemáticas los martes.,MARTES YO MATEMÁTICAS ENSEÑAR
Pinto cuadros cada verano.,VERANO YO CUADROS PINTAR
Grabo vídeos todos los domingos.,DOMINGOS YO VÍDEOS GRABAR
Toco guitarra cada noche.,NOCHE YO GUITARRA TOCAR
Investigo temas nuevos cada semana.,SEMANA YO TEMAS NUEVOS INVESTIGAR
Mido ingredientes todos los jueves.,JUEVES YO INGREDIENTES MEDIR
Gestiono proyectos cada mañana.,MAÑANA YO PROYECTOS GESTIONAR
Planeo viajes cada año.,AÑO YO VIAJES PLANEAR
Trabajo por la tarde.,TARDE YO TRABAJAR
María me compra flores cada semana.,SEMANA MARÍA MÍ FLORES COMPRAR
Luis le escribe cartas a su madre cada mes.,MES LUIS MADRE SU CARTAS ESCRIBIR
Ana nos prepara la cena todas las noches.,NOCHES TODAS ANA NOS CENA PREPARAR
Javier lo arregla cada día.,DÍA CADA JAVIER ARREGLAR
Lucía les enseña canciones los viernes.,VIERNES LUCÍA LES CANCIONES ENSEÑAR
Carlos me llama cada noche.,NOCHE CADA CARLOS ME LLAMAR
El profesor les explica el tema cada martes.,MARTES CADA PROFESOR LES TEMA EXPLICAR
Mi hermana le regala dulces a su amiga cada mes.,MES CADA MI HERMANA AMIGA SU DULCES REGALAR
El equipo lo entrena todos los días.,DÍAS TODOS EQUIPO ENTRENAR
La empresa nos envía productos cada lunes.,LUNES CADA EMPRESA NOS PRODUCTOS ENVIAR
El médico me revisa la vista cada jueves.,JUEVES CADA MÉDICO ME VISTA REVISAR
La vecina le presta libros cada semana.,SEMANA CADA VECINA LIBROS PRESTAR
El alumno lo repite cada día.,DÍA CADA ALUMNO REPETIR
Mi padre me ayuda cada noche.,NOCHE CADA MI PADRE ME AYUDAR
La directora les envía correos todos los lunes.,LUNES TODOS DIRECTORA LES CORREOS ENVIAR
El escritor lo publica cada viernes.,VIERNES CADA ESCRITOR PUBLICAR
El chef me prepara café cada mañana.,MAÑANA CADA CHEF ME CAFÉ PREPARAR
La doctora le recomienda descanso cada mes.,MES CADA DOCTORA DESCANSO RECOMENDAR
Mi amigo lo guarda todos los días.,DÍAS TODOS MI AMIGO GUARDAR
El grupo les canta canciones cada sábado.,SÁBADO CADA GRUPO LES CANCIONES CANTAR
Trabajo todos los lunes y descanso los domingos.,LUNES TODOS TRABAJAR DOMINGOS DESCANSAR
Cocino arroz cada noche y sirvo la comida.,NOCHE CADA ARROZ COCINAR COMIDA SERVIR
Leo libros todos los días y aprendo más.,DÍAS TODOS LIBROS LEER MÁS APRENDER
Estudio inglés por la mañana y español por la tarde.,MAÑANA INGLÉS ESTUDIAR TARDE ESPAÑOL ESTUDIAR
Preparo café cada día pero no tomo té.,DÍA CADA CAFÉ PREPARAR TÉ NO TOMAR
Escribo mensajes cuando tengo tiempo.,TIEMPO TENER MENSAJES ESCRIBIR
Corro en el parque todos los días.,DÍAS TODOS PARQUE CORRER
Organizo tareas cada lunes y martes.,LUNES MARTES CADA TAREAS ORGANIZAR
Limpio mi escritorio los sábados.,SÁBADOS ESCRITORIO MÍO LIMPIAR
Pinto paredes los domingos.,DOMINGOS PAREDES PINTAR
Trabajo porque me gusta.,GUSTAR ME TRABAJAR
Cocino cuando tengo hambre.,HAMBRE TENER COCINAR
Leo cuando quiero descansar.,DESCANSAR QUERER LEER
Escribo porque me relaja.,RELAJAR ME ESCRIBIR
Aprendo cuando escucho.,ESCUCHAR APRENDER
Descanso cuando termina el día.,DÍA TERMINAR DESCANSAR
Canto porque estoy feliz.,FELIZ ESTAR CANTAR
Trabajo porque disfruto.,DISFRUTAR TRABAJAR
Leo porque me inspira.,INSPIRAR ME LEER
Cocino cuando llueve.,LLUEVE COCINAR
Duermo cuando puedo.,PODER DORMIR
Estudio porque me gusta.,GUSTAR ME ESTUDIAR
Trabajo cuando todos descansan.,TODOS DESCANSAR TRABAJAR
Cocino porque hace frío.,FRÍO HACER COCINAR
Estudio cuando el sol sale.,SOL SALIR ESTUDIAR
Leo cuando cae la tarde.,TARDE CAER LEER
Aprendo cuando hay silencio.,SILENCIO HAY APRENDER
Corro porque quiero mejorar.,MEJORAR QUERER CORRER
Descanso cuando puedo.,PODER DESCANSAR
Canto porque tengo energía.,ENERGÍA TENER CANTAR
Trabajo porque me apasiona.,APASIONAR ME TRABAJAR
Leo porque disfruto.,DISFRUTAR LEER
Cocino cuando amanece.,AMANECER YO COCINAR
Duermo cuando anochece.,ANOCHECER YO DORMIR
Aprendo porque me gusta aprender.,GUSTAR APRENDER YO APRENDER
Trabajo cada lunes por la mañana.,CADA LUNES MAÑANA YO TRABAJAR
Leo libros todos los miércoles.,CADA MIÉRCOLES YO LIBROS LEER
Cocino con mis amigos los viernes.,VIERNES AMIGOS MÍOS YO COCINAR
Escribo correos cada noche.,CADA NOCHE YO CORREOS ESCRIBIR
Descanso los domingos por la tarde.,DOMINGOS TARDE YO DESCANSAR
Viajo cada verano con mi familia.,CADA VERANO FAMILIA MÍA YO VIAJAR
Estudio cada día en la biblioteca.,CADA DÍA BIBLIOTECA YO ESTUDIAR
Escucho música todas las noches.,CADA NOCHE YO MÚSICA ESCUCHAR
Practico deporte cada semana.,CADA SEMANA YO DEPORTE PRACTICAR
Pinto cuadros todos los sábados.,CADA SÁBADO YO CUADROS PINTAR
Juego fútbol los domingos.,DOMINGOS YO FÚTBOL JUGAR
Hablo con mis padres cada día.,CADA DÍA PADRES MÍOS YO HABLAR
Veo películas cada viernes.,CADA VIERNES YO PELÍCULAS VER
Trabajo porque quiero progresar.,QUERER PROGRESAR YO TRABAJAR
Aprendo porque tengo curiosidad.,TENER CURIOSIDAD YO APRENDER
Leo porque me calma.,CALMAR YO LEER
Cocino porque me divierte.,DIVERTIR YO COCINAR
Canto porque me alegra.,ALEGRAR YO CANTAR
Estudio porque quiero mejorar.,QUERER MEJORAR YO ESTUDIAR
Escribo porque me inspira.,INSPIRAR YO ESCRIBIR
Corro porque disfruto del aire libre.,DISFRUTAR AIRE LIBRE YO CORRER
Descanso cuando termina el trabajo.,TRABAJO TERMINAR YO DESCANSAR
Leo cuando amanece.,AMANECER YO LEER
Trabajo cuando brilla el sol.,SOL BRILLAR YO TRABAJAR
Cocino porque me gusta compartir.,GUSTAR COMPARTIR YO COCINAR
Escribo cuando estoy tranquilo.,ESTAR TRANQUILO YO ESCRIBIR
Aprendo porque deseo crecer.,DESEAR CRECER YO APRENDER
Trabajo con constancia cada día.,CADA DÍA CONSTANCIA YO TRABAJAR
Estudio con interés todas las tardes.,CADA TARDE INTERÉS YO ESTUDIAR
Canto con alegría todos los viernes.,CADA VIERNES ALEGRÍA YO CANTAR
Corro con mis amigos cada mañana.,CADA MAÑANA AMIGOS MÍOS YO CORRER
Pinto paisajes todos los domingos.,CADA DOMINGO YO PAISAJES PINTAR
Leo novelas cada noche.,CADA NOCHE YO NOVELAS LEER
Trabajo en equipo cada semana.,CADA SEMANA EQUIPO YO TRABAJAR
Aprendo algo nuevo cada jornada.,CADA JORNADA ALGO NUEVO YO APRENDER
Cocino con amor cada tarde.,CADA TARDE AMOR YO COCINAR
Estudio con esfuerzo cada día.,CADA DÍA ESFUERZO YO ESTUDIAR
Trabajo y sonrío cada mañana.,CADA MAÑANA YO TRABAJAR SONREÍR
Canto y bailo los fines de semana.,FINES SEMANA YO CANTAR BAILAR
Leo y aprendo constantemente.,CONSTANTEMENTE YO LEER APRENDER
Pinto y enseño a otros.,OTROS YO PINTAR ENSEÑAR
Cocino y comparto con mi familia.,FAMILIA MÍA YO COCINAR COMPARTIR
María estudia en la Universidad de Madrid.,UNIVERSIDAD MADRID MARÍA ESTUDIAR
Luis trabaja en una oficina en Valencia.,OFICINA VALENCIA LUIS TRABAJAR
Ana vive en Málaga.,MÁLAGA ANA VIVIR
Javier escribe en su casa.,CASA JAVIER ESCRIBIR
Lucía canta en el teatro.,TEATRO LUCÍA CANTAR
Carlos lee en el parque.,PARQUE CARLOS LEER
El profesor enseña en el instituto.,INSTITUTO PROFESOR ENSEÑAR
Mi hermana limpia en la casa.,CASA MI HERMANA LIMPIAR
El equipo entrena en el estadio.,ESTADIO EQUIPO ENTRENAR
La empresa fabrica en Granada.,GRANADA EMPRESA FABRICAR
El médico trabaja en el hospital.,HOSPITAL MÉDICO TRABAJAR
La vecina cocina en la cocina.,COCINA VECINA COCINAR
El alumno estudia en la biblioteca.,BIBLIOTECA ALUMNO ESTUDIAR
Mi padre repara en el garaje.,GARAJE MI PADRE REPARAR
La directora organiza en el despacho.,DESPACHO DIRECTORA ORGANIZAR
El escritor escribe en su estudio.,ESTUDIO SU ESCRITOR ESCRIBIR
El chef prepara postres en la cocina.,COCINA CHEF POSTRES PREPARAR
La doctora atiende pacientes en la consulta.,CONSULTA DOCTORA PACIENTES ATENDER
Mi amigo estudia en la biblioteca.,BIBLIOTECA MI AMIGO ESTUDIAR
El grupo canta en el teatro.,TEATRO GRUPO CANTAR
Trabajo en Madrid.,MADRID YO TRABAJAR
Cocino en casa.,CASA YO COCINAR
Leo en el sofá.,SOFÁ YO LEER
Estudio en la mesa.,MESA YO ESTUDIAR
Escribo en el ordenador.,ORDENADOR YO ESCRIBIR
Limpio en la cocina.,COCINA YO LIMPIAR
Cierro la puerta en el pasillo.,PASILLO PUERTA YO CERRAR
Practico guitarra en el salón.,SALÓN GUITARRA YO PRACTICAR
Descanso en la cama.,CAMA YO DESCANSAR
Corro en el parque.,PARQUE YO CORRER
Duermo en mi habitación.,HABITACIÓN MÍA YO DORMIR
Trabajo en la empresa.,EMPRESA YO TRABAJAR
Cocino en la escuela.,ESCUELA YO COCINAR
Leo en el tren.,TREN YO LEER
Canto en el festival.,FESTIVAL YO CANTAR
Estudio en el Instituto Granada.,INSTITUTO GRANADA YO ESTUDIAR
Vivo en Casa Ana.,CASA ANA YO VIVIR
Ceno en el restaurante.,RESTAURANTE YO CENAR
Escucho música en la terraza.,TERRAZA YO MÚSICA ESCUCHAR
Mido ingredientes en la cocina.,COCINA YO INGREDIENTES MEDIR
Aprendo inglés en la academia.,ACADEMIA YO INGLÉS APRENDER
María estudia en Madrid y trabaja en su casa.,MADRID MARÍA ESTUDIAR Y CASA SU TRABAJAR
Luis vive en Barcelona y viaja a Valencia.,BARCELONA LUIS VIVIR Y VALENCIA VIAJAR
Ana enseña en el instituto y corrige en casa.,INSTITUTO ANA ENSEÑAR Y CASA CORREGIR
Javier escribe en el estudio y publica en línea.,ESTUDIO JAVIER ESCRIBIR Y LÍNEA PUBLICAR
Lucía canta en el teatro y ensaya en su habitación.,TEATRO LUCÍA CANTAR Y HABITACIÓN SU ENSAYAR
Carlos observa aves en el parque y anota datos.,PARQUE CARLOS AVES OBSERVAR Y DATOS ANOTAR
El profesor enseña en la universidad y corrige en casa.,UNIVERSIDAD PROFESOR ENSEÑAR Y CASA CORREGIR
Mi hermana limpia en su habitación y cocina en la sala.,HABITACIÓN SU HERMANA MÍA LIMPIAR Y SALA COCINAR
El grupo canta en Sevilla y baila en Cádiz.,SEVILLA GRUPO CANTAR Y CÁDIZ BAILAR
La doctora trabaja en el hospital y estudia en la universidad.,HOSPITAL DOCTORA TRABAJAR Y UNIVERSIDAD ESTUDIAR
Leo en la biblioteca y escribo en el escritorio.,BIBLIOTECA YO LEER Y ESCRITORIO YO ESCRIBIR
Trabajo en la oficina y estudio en la universidad.,OFICINA YO TRABAJAR Y UNIVERSIDAD YO ESTUDIAR
Pinto en casa y vendo mis cuadros en internet.,CASA YO PINTAR Y INTERNET CUADROS MÍOS VENDER
Cocino en el restaurante y enseño en la escuela.,RESTAURANTE YO COCINAR Y ESCUELA YO ENSEÑAR
Corro en el parque y descanso en el sofá.,PARQUE YO CORRER Y SOFÁ YO DESCANSAR
Cocino en Madrid.,MADRID YO COCINAR
Leo en Casa Ana.,CASA ANA YO LEER
Trabajo en Barcelona.,BARCELONA YO TRABAJAR
Descanso en el jardín.,JARDÍN YO DESCANSAR
Vivo en Sevilla.,SEVILLA YO VIVIR
Estudio en la biblioteca.,BIBLIOTECA YO ESTUDIAR
Canto en la plaza.,PLAZA YO CANTAR
Pinto en el taller.,TALLER YO PINTAR
Trabajo en el laboratorio.,LABORATORIO YO TRABAJAR
Escribo en la universidad.,UNIVERSIDAD YO ESCRIBIR
Leo en el aula.,AULA YO LEER
Cocino en el comedor.,COMEDOR YO COCINAR
Pinto en el estudio.,ESTUDIO YO PINTAR
Trabajo en el centro.,CENTRO YO TRABAJAR
Aprendo en el colegio.,COLEGIO YO APRENDER
Descanso en el sofá.,SOFÁ YO DESCANSAR
Trabajo mucho.,YO MUCHO TRABAJAR
Cocino arroz.,YO ARROZ COCINAR
Leo un libro.,YO LIBRO LEER
Estudio inglés.,YO INGLÉS ESTUDIAR
Preparo café.,YO CAFÉ PREPARAR
Escribo mensajes.,YO MENSAJES ESCRIBIR
Observo el cielo.,YO CIELO OBSERVAR
Organizo tareas.,YO TAREAS ORGANIZAR
Visito museos.,YO MUSEOS VISITAR
Limpio la casa.,YO CASA LIMPIAR
Reparo el coche.,YO COCHE REPARAR
Aprendo idiomas.,YO IDIOMAS APRENDER
Pinto cuadros.,YO CUADROS PINTAR
Grabo vídeos.,YO VÍDEOS GRABAR
Toco guitarra.,YO GUITARRA TOCAR
Investigo temas.,YO TEMAS INVESTIGAR
Mido ingredientes.,YO INGREDIENTES MEDIR
Gestiono proyectos.,YO PROYECTOS GESTIONAR
Planeo vacaciones.,YO VACACIONES PLANEAR
Camino rápido.,YO RÁPIDO CAMINAR
Compro pan.,YO PAN COMPRAR
Leo poemas.,YO POEMAS LEER
Estudio biología.,YO BIOLOGÍA ESTUDIAR
Trabajo feliz.,YO FELIZ TRABAJAR
Cocino lentejas.,YO LENTEJAS COCINAR
Escribo cartas.,YO CARTAS ESCRIBIR
Canto canciones.,YO CANCIONES CANTAR
Escucho música.,YO MÚSICA ESCUCHAR
Aprendo cosas.,YO COSAS APRENDER
Cierro la puerta.,PUERTA TÚ CERRAR DEBE
Subo escaleras.,YO ESCALERAS SUBIR
Duermo bien.,YO BIEN DORMIR
Despierto temprano.,YO TEMPRANO DESPERTAR
Corro rápido.,YO RÁPIDO CORRER
Río con amigos.,YO AMIGOS REÍR
Juego fútbol.,YO FÚTBOL JUGAR
Estudio solo.,YO SOLO ESTUDIAR
Trabajo motivado.,YO MOTIVADO TRABAJAR
Leo sin parar.,YO SIN PARAR LEER
Descanso tranquilo.,YO TRANQUILO DESCANSAR
Ayudo cuando puedo.,YO CUANDO PODER AYUDAR
Vivo feliz.,YO FELIZ VIVIR
Cocino bien.,YO BIEN COCINAR
Leo mucho.,YO MUCHO LEER
Trabajo contento.,YO CONTENTO TRABAJAR
Canto alto.,YO CANTAR ALTO
Organizo bien.,YO ORGANIZAR BIEN
Descanso poco.,YO DESCANSAR POCO
Escribo poco.,YO ESCRIBIR POCO
Pinto lento.,YO PINTAR LENTO
Trabajo y sonrío.,YO TRABAJAR Y SONREÍR
Cocino y limpio.,YO COCINAR Y LIMPIAR
Leo y aprendo.,YO LEER Y APRENDER
Estudio y enseño.,YO ESTUDIAR Y ENSEÑAR
Organizo y escribo.,YO ORGANIZAR Y ESCRIBIR
Aprendo y enseño.,YO APRENDER Y ENSEÑAR
Cocino y sirvo.,YO COCINAR Y SERVIR
Leo y descanso.,YO LEER Y DESCANSAR
Canto y río.,YO CANTAR Y REÍR
Trabajo y escucho.,YO TRABAJAR Y ESCUCHAR
Pinto y coloreo.,YO PINTAR Y COLOREAR
Cocino y decoro.,YO COCINAR Y DECORAR
Escribo y leo.,YO ESCRIBIR Y LEER
Leo y enseño.,YO LEER Y ENSEÑAR
Trabajo y estudio.,YO TRABAJAR Y ESTUDIAR
Cocino y hablo.,YO COCINAR Y HABLAR
Escribo y planeo.,YO ESCRIBIR Y PLANEAR
Aprendo y comparto.,YO APRENDER Y COMPARTIR
María cocinó arroz.,PASADO MARÍA ARROZ COCINAR
Luis estudió biología.,PASADO LUIS BIOLOGÍA ESTUDIAR
Ana preparó café.,PASADO ANA CAFÉ PREPARAR
Javier escribió un correo.,PASADO JAVIER CORREO ESCRIBIR
Lucía cantó una canción.,PASADO LUCÍA CANCIÓN CANTAR
Carlos observó el cielo.,PASADO CARLOS CIELO OBSERVAR
El profesor enseñó historia.,PASADO PROFESOR HISTORIA ENSEÑAR
Mi hermana limpió la casa.,PASADO MI HERMANA CASA LIMPIAR
El equipo entrenó fuerte.,PASADO EQUIPO FUERTE ENTRENAR
La empresa fabricó muebles.,PASADO EMPRESA MUEBLES FABRICAR
El médico atendió pacientes.,PASADO MÉDICO PACIENTES ATENDER
La vecina cocinó lentejas.,PASADO VECINA LENTEJAS COCINAR
El alumno estudió inglés.,PASADO ALUMNO INGLÉS ESTUDIAR
Mi padre arregló el coche.,PASADO MI PADRE COCHE ARREGLAR
La directora revisó informes.,PASADO DIRECTORA INFORMES REVISAR
El escritor redactó un cuento.,PASADO ESCRITOR CUENTO REDACTAR
